Date,Open,High,Low,Close,Volume
30-Dec-11,405.00,405.00,405.00,405.00,0
29-Dec-11,403.40,405.65,400.51,405.12,7719863
28-Dec-11,406.89,408.25,401.34,402.64,8173461
27-Dec-11,403.10,409.09,403.02,406.53,9472659
23-Dec-11,403.43,403.43,403.43,403.43,0
22-Dec-11,397.00,399.13,396.10,398.55,7227016
21-Dec-11,396.69,397.30,392.01,396.44,9390954
20-Dec-11,387.76,396.10,387.26,395.95,12050104
19-Dec-11,382.47,384.85,380.48,382.21,8411702
16-Dec-11,380.36,384.15,379.57,381.02,15056343
15-Dec-11,383.33,383.74,378.31,378.94,9158875
14-Dec-11,386.70,387.38,377.68,380.19,14541240
13-Dec-11,393.00,395.40,387.10,388.81,12112029
12-Dec-11,391.68,393.90,389.45,391.84,10752338
9-Dec-11,392.85,394.04,391.03,393.62,10612255
8-Dec-11,391.45,395.50,390.23,390.66,13441293
7-Dec-11,389.93,390.94,386.76,389.09,10892847
6-Dec-11,392.51,394.63,389.38,390.95,10135859
5-Dec-11,393.49,396.41,390.39,393.01,12763161
2-Dec-11,389.83,393.63,388.58,389.70,13545470
1-Dec-11,382.54,389.00,380.75,387.93,13827834
30-Nov-11,381.29,382.28,378.30,382.20,14502386
29-Nov-11,375.84,378.83,370.20,373.20,13429694
28-Nov-11,372.35,376.72,370.33,376.12,12380122
25-Nov-11,368.42,371.15,363.32,363.57,9098543
23-Nov-11,366.99,366.99,366.99,366.99,0
22-Nov-11,371.02,377.93,370.94,376.51,14617763
21-Nov-11,370.40,371.68,365.91,369.01,16007227
18-Nov-11,378.92,379.99,374.88,374.94,13288395
17-Nov-11,383.98,384.58,375.50,377.41,17147164
16-Nov-11,389.25,391.14,384.32,384.77,12471716
15-Nov-11,380.80,389.50,379.45,388.83,15392116
14-Nov-11,383.52,385.25,378.20,379.26,15466501
11-Nov-11,386.61,388.70,380.26,384.62,23349431
10-Nov-11,397.03,397.21,382.15,385.22,26606467
9-Nov-11,396.97,400.89,394.23,395.28,19952990
8-Nov-11,402.21,408.00,401.56,406.23,14301406
7-Nov-11,399.91,400.00,396.13,399.73,9652257
4-Nov-11,402.03,403.44,399.16,400.24,10793856
3-Nov-11,399.07,403.40,395.36,403.07,15768725
2-Nov-11,400.09,400.44,395.11,397.41,11723381
1-Nov-11,397.41,399.50,393.22,396.51,18992411
31-Oct-11,402.42,409.33,401.05,404.78,13772329
28-Oct-11,403.00,406.35,402.51,404.95,11529964
27-Oct-11,407.56,409.00,401.89,404.69,17673331
26-Oct-11,401.76,402.55,393.15,400.60,16296426
25-Oct-11,405.03,406.55,397.38,397.77,15378600
24-Oct-11,396.18,406.50,395.40,405.77,17941292
21-Oct-11,398.10,399.14,390.75,392.87,22187216
20-Oct-11,400.00,400.35,394.21,395.31,19626042
19-Oct-11,401.35,408.42,397.80,398.62,39428299
18-Oct-11,421.76,424.81,415.99,422.24,31485728
17-Oct-11,421.74,426.70,415.94,419.99,24501528
14-Oct-11,416.83,422.00,415.27,422.00,20477390
13-Oct-11,404.98,408.43,402.85,408.43,15220825
12-Oct-11,407.34,409.25,400.14,402.19,22224426
11-Oct-11,392.57,403.18,391.50,400.29,21631495
10-Oct-11,379.09,388.81,378.21,388.81,15804041
7-Oct-11,375.78,377.74,368.49,369.80,19129166
6-Oct-11,373.33,384.78,371.80,377.37,29020722
5-Oct-11,367.86,379.82,360.30,378.25,28088194
4-Oct-11,374.57,381.80,354.24,372.50,44059841
3-Oct-11,380.37,382.64,373.17,374.60,23895573
30-Sep-11,387.12,388.89,381.18,381.32,19579889
29-Sep-11,401.92,402.21,386.21,390.57,23263021
28-Sep-11,400.19,403.74,396.51,397.01,15351883
27-Sep-11,408.73,409.25,398.06,399.26,22589196
26-Sep-11,399.86,403.98,391.30,403.17,29031266
23-Sep-11,400.28,406.74,399.85,404.30,19517230
22-Sep-11,401.03,409.82,396.70,401.82,34588591
21-Sep-11,419.64,421.59,412.00,412.14,21641965
20-Sep-11,415.25,422.86,411.19,413.45,27705327
19-Sep-11,397.00,413.23,395.20,411.63,29423540
16-Sep-11,395.54,400.50,395.03,400.50,24946023
15-Sep-11,391.43,393.66,389.90,392.96,14922083
14-Sep-11,387.02,392.21,385.76,389.30,19097264
13-Sep-11,382.14,386.21,380.25,384.62,15740641
12-Sep-11,373.00,380.88,371.90,379.94,16708284
9-Sep-11,383.93,386.00,375.02,377.48,20181344
8-Sep-11,382.40,388.61,382.31,384.14,14862780
7-Sep-11,385.56,385.60,382.00,383.93,12520542
6-Sep-11,367.37,380.33,366.48,379.74,18203447
2-Sep-11,374.74,378.00,371.83,374.05,15684502
1-Sep-11,385.82,387.34,380.72,381.03,12275815
31-Aug-11,390.57,392.08,381.86,384.83,18669842
30-Aug-11,388.25,391.84,386.21,389.99,14925752
29-Aug-11,388.18,391.50,388.00,389.97,14473307
26-Aug-11,371.17,383.80,370.80,383.58,22909823
25-Aug-11,365.08,375.45,365.00,373.72,31117868
24-Aug-11,373.47,378.96,370.60,376.18,22366701
23-Aug-11,360.30,373.64,357.00,373.60,23458368
22-Aug-11,364.51,364.88,355.09,356.44,19118030
19-Aug-11,362.17,367.00,356.00,356.03,27710078
18-Aug-11,370.84,372.65,361.37,366.05,30408327
17-Aug-11,382.31,384.52,378.00,380.44,15787849
16-Aug-11,381.52,383.37,376.06,380.48,17817446
15-Aug-11,379.63,384.97,378.09,383.41,16447924
12-Aug-11,378.02,379.64,374.23,376.99,18891915
11-Aug-11,370.52,375.45,364.72,373.70,26498730
10-Aug-11,371.15,374.65,362.50,363.69,31380328
9-Aug-11,-,374.61,355.00,374.01,38663672
8-Aug-11,361.69,367.77,353.02,353.21,40850172
5-Aug-11,380.44,383.50,362.57,373.62,43020050
4-Aug-11,389.41,391.32,377.35,377.37,31121632
3-Aug-11,388.22,393.55,382.24,392.57,26160828
2-Aug-11,397.65,397.90,388.35,388.91,22840680
1-Aug-11,397.78,399.50,392.37,396.75,21886851
29-Jul-11,387.64,395.15,384.00,390.48,22592270
28-Jul-11,391.62,396.99,388.13,391.82,21215156
27-Jul-11,400.59,402.64,392.15,392.59,23547210
26-Jul-11,400.00,404.50,399.68,403.41,17020718
25-Jul-11,390.35,400.00,389.62,398.50,21064442
22-Jul-11,388.32,395.05,387.75,393.30,18454555
21-Jul-11,386.95,390.06,383.90,387.29,18804148
20-Jul-11,396.12,396.27,386.00,386.90,33618816
19-Jul-11,378.00,378.65,373.32,376.85,29255192
18-Jul-11,365.43,374.65,365.28,373.80,20451089
15-Jul-11,361.17,365.00,359.17,364.92,17302334
14-Jul-11,361.01,361.61,356.34,357.77,15376165
13-Jul-11,358.33,360.00,356.38,358.02,13987074
12-Jul-11,353.53,357.68,348.62,353.75,16128813
11-Jul-11,356.34,359.77,352.82,354.00,15816282
8-Jul-11,353.34,360.00,352.20,359.71,17497377
7-Jul-11,354.67,358.00,354.00,357.20,14273617
6-Jul-11,348.95,354.10,346.71,351.76,15879463
5-Jul-11,343.00,349.83,342.50,349.43,12688374
1-Jul-11,343.26,343.26,343.26,343.26,0
30-Jun-11,334.70,336.13,332.84,335.67,11543913
29-Jun-11,336.04,336.37,331.88,334.04,12597010
28-Jun-11,333.65,336.70,333.44,335.26,10510701
27-Jun-11,327.59,333.90,327.25,332.04,12141419
