Date,Open,High,Low,Close,Volume
30-Dec-11,645.90,645.90,645.90,645.90,0
29-Dec-11,641.49,643.00,635.20,642.40,1575595
28-Dec-11,642.75,645.00,638.10,639.70,2127130
27-Dec-11,632.05,644.49,632.00,640.25,1609052
23-Dec-11,631.88,631.88,631.88,631.88,0
22-Dec-11,627.95,631.73,627.01,629.70,1824156
21-Dec-11,630.01,631.82,618.96,625.82,2498154
20-Dec-11,628.00,631.84,627.99,630.37,2388184
19-Dec-11,628.01,628.50,620.00,621.83,2144189
16-Dec-11,624.32,629.32,621.47,625.96,4459782
15-Dec-11,622.52,624.00,618.69,619.54,2409785
14-Dec-11,621.85,624.32,612.49,618.07,3904882
13-Dec-11,628.76,636.56,622.85,625.63,4028638
12-Dec-11,621.88,626.18,620.29,625.39,2185234
9-Dec-11,618.00,629.13,617.01,627.42,2768503
8-Dec-11,621.04,627.45,615.30,616.05,2414400
7-Dec-11,621.68,625.66,618.10,623.39,2257980
6-Dec-11,622.99,628.62,620.24,623.77,2326518
5-Dec-11,627.64,631.90,622.40,625.65,3198026
2-Dec-11,617.05,624.00,616.26,620.36,4085965
1-Dec-11,600.00,616.00,599.00,613.77,3621293
30-Nov-11,597.95,599.51,592.09,599.39,3397279
29-Nov-11,587.88,590.36,581.33,582.93,1832619
28-Nov-11,579.37,588.82,576.50,588.19,2828967
25-Nov-11,565.19,574.27,561.33,563.00,1562341
23-Nov-11,570.11,570.11,570.11,570.11,0
22-Nov-11,580.00,584.97,575.24,580.00,2405579
21-Nov-11,587.76,588.50,572.09,580.94,3001666
18-Nov-11,602.00,604.50,593.75,594.88,3287618
17-Nov-11,610.05,612.29,596.78,600.87,3493472
16-Nov-11,612.08,618.30,610.61,611.47,2610280
15-Nov-11,612.80,618.08,610.50,616.56,2675961
14-Nov-11,608.00,618.08,607.78,613.00,3188932
11-Nov-11,601.30,612.09,598.60,608.35,3977320
10-Nov-11,605.94,605.95,591.56,595.08,2868599
9-Nov-11,604.26,609.39,598.66,600.95,3711062
8-Nov-11,609.00,614.37,603.60,612.34,3029383
7-Nov-11,593.32,608.78,592.23,608.33,3358867
4-Nov-11,593.50,599.74,592.43,596.14,2835379
3-Nov-11,587.00,597.50,583.72,597.50,2669745
2-Nov-11,584.90,587.96,580.48,584.82,2121899
1-Nov-11,580.10,585.51,576.75,578.65,3125199
31-Oct-11,595.09,599.69,591.67,592.64,2557738
28-Oct-11,594.52,602.30,594.25,600.14,2508147
27-Oct-11,598.42,602.70,593.30,598.67,3780722
26-Oct-11,589.55,590.18,572.86,586.31,2873690
25-Oct-11,593.10,595.00,582.85,583.16,2540445
