Date,Open,High,Low,Close,Volume
30-Dec-11,24.25,24.25,24.25,24.25,0
29-Dec-11,24.36,24.58,24.28,24.55,22319335
28-Dec-11,24.24,24.24,24.24,24.24,0
27-Dec-11,24.45,24.70,24.40,24.56,24136135
23-Dec-11,24.39,24.39,24.39,24.39,0
22-Dec-11,23.83,24.10,23.76,24.02,32003486
21-Dec-11,23.95,24.09,23.43,23.68,45222794
20-Dec-11,23.85,23.85,23.85,23.85,0
19-Dec-11,23.39,23.48,23.05,23.10,42252797
16-Dec-11,23.47,23.89,23.22,23.23,94569797
15-Dec-11,23.58,23.67,23.25,23.31,38693666
14-Dec-11,23.48,23.56,23.14,23.31,56394300
13-Dec-11,24.05,24.06,23.42,23.56,78518944
12-Dec-11,24.18,24.29,23.61,24.00,94839535
9-Dec-11,24.41,25.10,24.38,25.01,44073143
8-Dec-11,25.45,25.53,24.63,24.71,58000587
7-Dec-11,25.33,25.78,25.13,25.66,54795336
6-Dec-11,25.09,25.48,25.00,25.35,49517905
5-Dec-11,25.03,25.20,24.79,25.01,42526793
2-Dec-11,25.01,25.14,24.60,24.64,41488925
1-Dec-11,24.87,24.97,24.40,24.92,51820369
30-Nov-11,24.28,24.94,24.23,24.91,73452313
29-Nov-11,23.49,23.90,23.42,23.58,44195101
28-Nov-11,23.28,23.57,23.25,23.46,39757303
25-Nov-11,22.55,23.22,22.51,22.73,28346827
23-Nov-11,22.70,22.70,22.70,22.70,0
22-Nov-11,23.38,23.53,23.09,23.24,48479186
21-Nov-11,24.03,24.15,23.35,23.57,58582822
18-Nov-11,24.17,24.43,24.02,24.29,45688560
17-Nov-11,24.90,24.95,24.12,24.34,62125247
16-Nov-11,25.13,25.50,24.88,24.94,74249584
15-Nov-11,24.66,25.46,24.62,25.34,77391270
14-Nov-11,24.78,24.90,24.48,24.63,49418044
11-Nov-11,24.31,24.90,24.30,24.85,43867192
10-Nov-11,24.14,24.25,23.74,24.06,45508704
9-Nov-11,24.24,24.32,23.80,23.84,56872144
8-Nov-11,24.48,24.77,24.26,24.75,55969275
7-Nov-11,23.70,24.31,23.63,24.28,51144945
4-Nov-11,24.04,24.07,23.66,23.74,46476002
3-Nov-11,23.79,24.23,23.28,24.20,58296345
2-Nov-11,24.02,24.06,23.55,23.85,56702801
1-Nov-11,24.11,24.35,23.82,23.90,68002340
31-Oct-11,24.57,24.92,24.49,24.54,43121769
28-Oct-11,24.87,25.03,24.73,24.98,44897379
27-Oct-11,24.93,25.20,24.85,25.13,84559164
26-Oct-11,24.80,24.84,24.34,24.70,58249853
25-Oct-11,24.47,24.85,24.39,24.63,60941683
24-Oct-11,24.05,24.79,24.02,24.59,138276614
21-Oct-11,23.86,24.25,23.80,24.03,123276914
20-Oct-11,23.88,23.88,23.35,23.61,88691866
19-Oct-11,24.01,24.50,23.86,24.24,139955773
18-Oct-11,23.17,23.48,23.06,23.40,85272150
17-Oct-11,23.32,23.60,23.14,23.28,47936068
14-Oct-11,23.44,23.50,23.25,23.50,44896426
13-Oct-11,23.02,23.46,22.96,23.39,51290454
12-Oct-11,23.00,23.28,22.98,23.12,59913270
11-Oct-11,22.76,23.00,22.61,22.99,50609369
10-Oct-11,22.48,22.89,22.47,22.88,40172733
7-Oct-11,22.07,22.50,21.91,22.29,58431248
6-Oct-11,21.92,22.05,21.67,22.03,58486486
5-Oct-11,21.25,21.97,21.06,21.85,70935737
4-Oct-11,20.45,21.27,20.40,21.22,77903421
3-Oct-11,21.18,21.40,20.57,20.62,95776435
30-Sep-11,21.93,22.07,21.33,21.34,64486727
29-Sep-11,22.38,22.60,21.87,22.21,85510642
28-Sep-11,22.61,22.71,22.30,22.31,74789054
27-Sep-11,22.50,22.98,22.37,22.54,88219615
26-Sep-11,22.16,22.44,21.79,22.24,64848582
23-Sep-11,21.39,22.27,21.22,22.16,74137255
22-Sep-11,21.55,21.90,21.34,21.62,94238416
21-Sep-11,22.18,22.50,21.90,21.94,66811646
20-Sep-11,21.99,22.47,21.86,22.20,71497500
19-Sep-11,21.77,22.06,21.63,21.93,57737919
16-Sep-11,21.65,22.09,21.43,21.97,90748268
15-Sep-11,21.31,21.66,21.22,21.54,53246741
14-Sep-11,20.89,21.40,20.71,21.12,58352646
13-Sep-11,20.32,20.90,20.21,20.76,60227235
12-Sep-11,19.53,20.29,19.52,20.28,53322607
9-Sep-11,19.75,20.22,19.66,19.70,61410265
8-Sep-11,20.05,20.30,19.81,19.90,42994933
7-Sep-11,20.02,20.14,19.86,20.08,46090005
6-Sep-11,19.25,19.58,19.16,19.54,44256675
2-Sep-11,19.80,19.93,19.57,19.64,42807570
1-Sep-11,20.28,20.35,19.99,19.99,40781134
31-Aug-11,20.23,20.41,20.02,20.13,55290198
30-Aug-11,20.19,20.35,19.92,20.24,39102044
29-Aug-11,19.94,20.31,19.83,20.30,40646006
26-Aug-11,19.43,19.97,19.27,19.77,53821950
25-Aug-11,19.83,19.88,19.40,19.42,51597148
24-Aug-11,19.58,19.88,19.37,19.80,53521329
23-Aug-11,19.36,19.71,19.30,19.71,54215839
22-Aug-11,19.55,19.68,19.26,19.38,48903980
19-Aug-11,19.61,19.96,19.16,19.19,79157373
18-Aug-11,20.15,20.18,19.55,19.77,92204896
17-Aug-11,20.58,20.98,20.40,20.67,51304856
16-Aug-11,20.74,21.07,20.50,20.79,44773378
15-Aug-11,20.75,20.93,20.63,20.89,46288827
12-Aug-11,20.76,20.91,20.56,20.65,54186004
11-Aug-11,20.14,21.00,20.07,20.76,75332364
10-Aug-11,20.27,20.51,19.77,19.93,95408636
9-Aug-11,-,20.62,19.52,20.60,116628460
8-Aug-11,20.24,20.87,20.08,20.11,137491512
5-Aug-11,21.00,21.20,20.21,20.79,101799696
4-Aug-11,21.47,21.81,20.84,20.85,86743714
3-Aug-11,21.74,21.97,21.35,21.81,65640222
2-Aug-11,22.01,22.19,21.71,21.72,56976563
1-Aug-11,22.57,22.69,21.90,22.24,51674291
29-Jul-11,22.35,22.62,22.22,22.33,51897483
28-Jul-11,22.47,22.88,22.33,22.55,36742373
27-Jul-11,22.65,22.75,22.35,22.53,59205983
26-Jul-11,23.03,23.15,22.83,22.90,45574860
25-Jul-11,22.94,23.28,22.80,23.03,40716097
22-Jul-11,22.94,23.25,22.78,23.13,45085427
21-Jul-11,22.35,22.88,22.17,22.81,80133877
20-Jul-11,23.10,23.22,22.90,22.99,57158800
19-Jul-11,22.44,23.10,22.44,23.06,55706845
18-Jul-11,22.29,22.43,22.08,22.28,45195361
15-Jul-11,22.27,22.56,22.20,22.37,49959371
14-Jul-11,22.56,22.70,22.21,22.27,47573415
13-Jul-11,22.57,22.73,22.32,22.48,43270875
12-Jul-11,22.62,22.72,22.24,22.45,51051302
11-Jul-11,22.84,22.98,22.73,22.85,34662925
8-Jul-11,22.96,23.20,22.81,23.09,35839128
7-Jul-11,22.89,23.39,22.86,23.23,53114166
6-Jul-11,22.45,22.82,22.44,22.75,43270717
5-Jul-11,22.69,22.69,22.36,22.44,33359335
1-Jul-11,22.53,22.53,22.53,22.53,0
30-Jun-11,21.48,22.22,21.48,22.16,53931999
29-Jun-11,21.53,21.57,21.31,21.39,31660359
28-Jun-11,21.42,21.54,21.26,21.49,36515757
27-Jun-11,21.17,21.48,21.00,21.34,45186797
24-Jun-11,21.61,21.74,21.18,21.20,124407613
23-Jun-11,21.20,21.72,21.06,21.71,54193071
22-Jun-11,21.54,21.61,21.38,21.40,37686475
21-Jun-11,21.46,21.69,21.22,21.65,55384725
20-Jun-11,21.19,21.42,21.17,21.32,37359573
17-Jun-11,21.68,21.68,21.07,21.19,96518394
16-Jun-11,21.46,21.79,21.27,21.42,53639980
15-Jun-11,21.68,26.78,21.40,21.42,48564893
14-Jun-11,21.60,21.92,21.55,21.82,51996875
13-Jun-11,21.43,21.60,21.28,21.38,43553001
10-Jun-11,21.73,21.80,21.26,21.38,53239485
9-Jun-11,21.87,22.01,21.70,21.76,36986514
8-Jun-11,21.96,22.13,21.73,21.82,49518338
7-Jun-11,22.04,22.44,22.00,22.06,60308552
6-Jun-11,21.80,21.95,21.66,21.83,49667062
3-Jun-11,21.79,22.10,21.67,21.73,53942562
2-Jun-11,22.01,22.33,21.86,22.08,53449010
1-Jun-11,22.45,22.48,21.98,22.00,56011358
31-May-11,22.45,22.64,22.32,22.51,59575279
27-May-11,22.21,22.21,22.21,22.21,0
26-May-11,22.62,22.64,22.45,22.50,44435966
25-May-11,22.52,22.83,22.41,22.68,49375771
24-May-11,22.89,22.91,22.59,22.61,51741200
23-May-11,22.92,23.03,22.76,22.86,64894030
20-May-11,23.46,23.54,23.15,23.22,63124701
19-May-11,23.32,23.87,23.20,23.54,98367364
18-May-11,23.60,23.96,23.52,23.88,65592836
17-May-11,23.37,23.57,23.08,23.55,86025584
16-May-11,23.32,23.95,23.27,23.64,74460665
13-May-11,23.66,23.80,23.36,23.41,53104955
12-May-11,23.25,23.83,23.23,23.70,66277866
11-May-11,23.29,23.63,23.20,23.41,85761805
10-May-11,22.85,23.20,22.82,23.03,66314223
9-May-11,23.13,23.20,22.65,22.76,73296305
6-May-11,23.46,23.59,23.13,23.25,100008252
5-May-11,23.43,23.86,23.17,23.61,94299086
4-May-11,23.05,23.56,22.72,23.50,137107162
3-May-11,22.81,23.46,22.67,23.23,110497542
2-May-11,23.02,23.18,22.81,22.91,71978985
29-Apr-11,22.80,23.19,22.63,23.15,156188963
28-Apr-11,22.45,22.87,22.45,22.80,54952050
27-Apr-11,22.54,22.68,22.33,22.63,68452870
26-Apr-11,21.82,22.53,21.81,22.48,105309140
25-Apr-11,21.37,22.01,21.33,21.94,81676687
21-Apr-11,21.46,21.46,21.46,21.46,0
20-Apr-11,21.21,21.44,20.94,21.41,174554410
19-Apr-11,19.67,19.98,19.62,19.86,81426422
18-Apr-11,19.53,19.74,19.45,19.62,46489507
15-Apr-11,19.60,19.75,19.53,19.75,44282999
14-Apr-11,19.64,19.66,19.41,19.58,52706852
13-Apr-11,19.88,19.95,19.72,19.78,38977499
12-Apr-11,20.01,20.07,19.69,19.76,52163063
11-Apr-11,20.07,20.20,20.01,20.12,43167928
8-Apr-11,20.04,20.20,19.95,20.02,46474890
7-Apr-11,19.92,20.09,19.82,20.03,51606392
6-Apr-11,19.86,19.95,19.71,19.95,56268775
5-Apr-11,19.59,19.88,19.55,19.71,62621153
4-Apr-11,19.79,19.80,19.36,19.49,69372740
1-Apr-11,20.38,20.38,19.56,19.72,82621446
31-Mar-11,20.29,20.37,19.94,20.18,87544126
30-Mar-11,20.42,20.46,20.11,20.46,54568401
29-Mar-11,20.27,20.29,19.98,20.28,59545177
28-Mar-11,20.44,20.66,20.33,20.34,37111485
25-Mar-11,20.30,20.60,20.21,20.37,52479176
24-Mar-11,20.51,20.51,20.28,20.38,49378215
23-Mar-11,20.09,20.36,20.01,20.29,37927293
22-Mar-11,20.18,20.21,19.98,20.14,45973801
21-Mar-11,19.90,20.39,19.88,20.19,43392286
18-Mar-11,19.98,20.15,19.88,19.93,74001296
17-Mar-11,20.02,20.06,19.80,19.90,59050846
16-Mar-11,20.03,20.37,19.71,19.81,84812605
15-Mar-11,20.23,20.33,20.01,20.18,80637834
14-Mar-11,20.66,20.88,20.62,20.84,48923507
11-Mar-11,20.63,20.96,20.61,20.87,45648050
10-Mar-11,20.94,21.02,20.72,20.79,69125252
9-Mar-11,21.08,21.34,20.94,21.20,60415811
8-Mar-11,21.26,21.26,21.02,21.13,57165626
7-Mar-11,21.69,21.74,21.08,21.21,57520132
4-Mar-11,21.88,22.08,21.40,21.56,64671779
3-Mar-11,21.66,21.88,21.65,21.79,50503933
2-Mar-11,21.42,21.70,21.40,21.49,52192367
1-Mar-11,21.61,21.69,21.35,21.39,57993504
28-Feb-11,21.75,21.84,21.37,21.47,66390040
25-Feb-11,21.52,22.00,21.46,21.86,53475606
24-Feb-11,21.10,21.41,21.03,21.28,54496328
23-Feb-11,21.70,21.72,21.01,21.15,83648294
22-Feb-11,21.95,22.19,21.73,21.81,64515549
18-Feb-11,22.14,22.14,22.14,22.14,0
17-Feb-11,21.68,22.06,21.67,21.97,50186595
16-Feb-11,21.57,21.88,21.43,21.75,55214046
15-Feb-11,21.48,21.55,21.28,21.45,50646325
14-Feb-11,21.63,21.80,21.50,21.57,45134575
11-Feb-11,21.63,21.85,21.52,21.76,43716565
10-Feb-11,21.43,21.84,21.35,21.80,56661748
9-Feb-11,21.53,21.60,21.42,21.46,44601339
8-Feb-11,21.65,21.68,21.40,21.64,48215026
7-Feb-11,21.74,21.86,21.63,21.69,43647681
4-Feb-11,21.47,21.70,21.43,21.68,39353405
3-Feb-11,21.41,21.65,21.30,21.57,39846001
2-Feb-11,21.48,21.71,21.47,21.56,46954522
1-Feb-11,21.49,21.70,21.28,21.48,60970917
31-Jan-11,21.55,21.64,21.03,21.46,90844209
28-Jan-11,21.76,21.89,21.35,21.46,55193037
27-Jan-11,21.76,21.94,21.65,21.75,58069117
26-Jan-11,21.77,21.90,21.66,21.75,57196022
25-Jan-11,21.28,21.57,21.17,21.55,72334569
24-Jan-11,21.03,21.24,20.93,21.24,82375446
21-Jan-11,20.95,21.04,20.81,20.82,63697594
20-Jan-11,20.94,20.95,20.62,20.95,56170796
19-Jan-11,21.07,21.13,20.95,21.01,43338981
18-Jan-11,21.03,21.20,20.94,21.08,55272098
14-Jan-11,21.08,21.08,21.08,21.08,0
13-Jan-11,21.26,21.32,21.08,21.29,104828205
12-Jan-11,21.27,21.33,21.07,21.30,53380573
11-Jan-11,20.83,21.12,20.74,21.05,64452537
10-Jan-11,20.71,20.77,20.57,20.69,51449697
7-Jan-11,20.71,20.77,20.27,20.66,74806061
6-Jan-11,20.67,20.82,20.55,20.77,116668982
5-Jan-11,21.19,21.21,20.90,20.94,61810472
4-Jan-11,21.12,21.20,21.05,21.15,75210343
3-Jan-11,21.01,21.05,20.78,20.85,58223768
