Date,Open,High,Low,Close,Volume
30-Dec-11,25.96,25.96,25.96,25.96,0
29-Dec-11,25.95,26.05,25.86,26.02,22616883
28-Dec-11,25.80,25.80,25.80,25.80,0
27-Dec-11,25.96,26.14,25.93,26.04,21287332
23-Dec-11,26.02,26.02,26.02,26.02,0
22-Dec-11,25.82,25.86,25.48,25.81,35794085
21-Dec-11,26.01,26.19,25.44,25.76,64134140
20-Dec-11,26.04,26.04,26.04,26.04,0
19-Dec-11,26.02,26.12,25.46,25.53,52258284
16-Dec-11,25.67,26.17,25.63,26.00,101410082
15-Dec-11,25.72,25.88,25.54,25.56,46217486
14-Dec-11,25.72,25.86,25.57,25.59,47927107
13-Dec-11,25.75,26.10,25.65,25.76,54581003
12-Dec-11,25.41,25.57,25.29,25.51,38945867
9-Dec-11,25.52,25.87,25.50,25.70,53790403
8-Dec-11,25.48,25.72,25.37,25.40,60522185
7-Dec-11,25.67,25.76,25.34,25.60,62669835
6-Dec-11,25.81,25.87,25.61,25.66,46175294
5-Dec-11,25.78,25.80,25.50,25.70,56818367
2-Dec-11,25.59,25.62,25.16,25.22,52295245
1-Dec-11,25.56,25.63,25.20,25.28,48545338
30-Nov-11,25.37,25.58,25.14,25.58,81353522
29-Nov-11,24.82,25.04,24.75,24.84,40920907
28-Nov-11,24.94,24.97,24.69,24.87,46771878
25-Nov-11,24.38,24.67,24.30,24.30,26164410
23-Nov-11,24.47,24.47,24.47,24.47,0
22-Nov-11,24.89,24.96,24.65,24.79,49204488
21-Nov-11,25.24,25.25,24.90,25.00,61882819
18-Nov-11,25.48,25.50,25.15,25.30,47627157
17-Nov-11,26.01,26.04,25.44,25.54,70977495
16-Nov-11,26.47,26.51,26.04,26.07,53262743
15-Nov-11,26.56,26.94,26.40,26.74,43877075
14-Nov-11,26.88,27.00,26.65,26.76,34199146
11-Nov-11,26.58,27.08,26.57,26.91,37903971
10-Nov-11,26.47,26.50,26.12,26.28,32517281
9-Nov-11,26.59,26.75,26.06,26.20,62950825
8-Nov-11,27.01,27.20,26.68,27.16,47825636
7-Nov-11,26.21,26.82,26.13,26.80,42586043
4-Nov-11,26.38,26.40,26.00,26.25,36553269
3-Nov-11,26.24,26.58,25.98,26.53,65837011
2-Nov-11,26.10,26.20,25.70,26.01,53536398
1-Nov-11,26.19,26.32,25.86,25.99,61186956
31-Oct-11,26.76,27.00,26.62,26.63,46798951
28-Oct-11,27.14,27.19,26.79,26.98,57712077
27-Oct-11,27.13,27.40,26.65,27.25,74515622
26-Oct-11,27.03,27.06,26.10,26.59,63029830
25-Oct-11,27.08,27.23,26.72,26.81,53554554
24-Oct-11,27.06,27.40,27.04,27.19,56897791
21-Oct-11,27.15,27.19,26.80,27.16,76620533
20-Oct-11,27.26,27.34,26.40,27.04,76300104
19-Oct-11,27.37,27.47,27.01,27.13,42881648
18-Oct-11,26.94,27.40,26.80,27.31,52491969
17-Oct-11,27.11,27.42,26.85,26.98,39453241
14-Oct-11,27.31,27.50,27.02,27.27,50949439
13-Oct-11,26.76,27.20,26.62,27.18,43830076
12-Oct-11,27.18,27.31,26.90,26.96,52493454
11-Oct-11,26.86,27.07,26.72,27.00,38826791
10-Oct-11,26.58,26.97,26.47,26.94,41822239
7-Oct-11,26.34,26.51,26.20,26.25,52748451
6-Oct-11,25.90,26.40,25.70,26.34,55113496
5-Oct-11,25.42,26.16,25.16,25.89,94061244
4-Oct-11,24.30,25.39,24.26,25.34,83485396
3-Oct-11,24.72,25.34,24.52,24.53,64596171
30-Sep-11,25.20,25.50,24.88,24.89,54086654
29-Sep-11,25.98,26.17,25.09,25.45,63411976
28-Sep-11,25.93,26.37,25.51,25.58,60740399
27-Sep-11,25.66,25.92,25.45,25.67,55623705
26-Sep-11,25.19,25.52,24.73,25.44,51057571
23-Sep-11,24.90,25.15,24.69,25.06,64769019
22-Sep-11,25.30,25.65,24.60,25.06,96285920
21-Sep-11,27.05,27.06,25.97,25.99,72750701
20-Sep-11,27.31,27.50,26.93,26.98,49211857
19-Sep-11,26.80,27.31,26.60,27.21,52324841
16-Sep-11,27.05,27.27,26.83,27.12,89685212
15-Sep-11,26.73,27.03,26.31,26.99,67809210
14-Sep-11,26.17,26.80,25.89,26.50,66742534
13-Sep-11,25.92,26.18,25.81,26.04,48794446
12-Sep-11,25.44,25.93,25.27,25.89,55047244
9-Sep-11,26.00,26.18,25.50,25.74,64531339
8-Sep-11,26.00,26.66,25.95,26.22,65818212
7-Sep-11,25.69,26.00,25.57,26.00,41960917
6-Sep-11,25.20,25.59,25.11,25.51,54931986
2-Sep-11,25.78,26.00,25.66,25.80,43897065
1-Sep-11,26.46,26.86,26.21,26.21,60511548
31-Aug-11,26.29,26.71,26.26,26.60,59301724
30-Aug-11,25.73,26.43,25.70,26.23,57341367
29-Aug-11,25.53,25.86,25.37,25.84,38863136
26-Aug-11,24.51,25.34,24.42,25.25,71959200
25-Aug-11,25.08,25.16,24.50,24.57,48191924
24-Aug-11,24.65,24.93,24.42,24.90,45329610
23-Aug-11,24.03,24.75,24.03,24.72,59671022
22-Aug-11,24.42,24.49,23.79,23.98,54720967
19-Aug-11,24.41,24.62,23.91,24.05,77402319
18-Aug-11,24.57,25.09,24.03,24.67,105715509
17-Aug-11,25.25,25.70,24.93,25.24,50923682
16-Aug-11,25.22,25.59,25.05,25.35,54256723
15-Aug-11,25.24,25.58,25.15,25.51,56529388
12-Aug-11,25.13,25.34,24.65,25.10,64791784
11-Aug-11,24.50,25.38,24.40,25.19,90697205
10-Aug-11,24.95,25.09,24.10,24.20,127819718
9-Aug-11,-,25.62,24.03,25.58,126278864
8-Aug-11,25.02,25.60,24.39,24.48,134257113
5-Aug-11,25.97,26.10,25.23,25.68,112072491
4-Aug-11,26.53,26.87,25.93,25.94,92953765
3-Aug-11,26.64,27.00,26.48,26.92,64583238
2-Aug-11,26.98,27.45,26.76,26.80,63883018
1-Aug-11,27.51,27.68,26.75,27.27,61846218
29-Jul-11,27.52,27.71,27.26,27.40,104394739
28-Jul-11,27.29,28.07,27.21,27.72,83766901
27-Jul-11,27.88,27.98,27.20,27.33,71492139
26-Jul-11,27.82,28.14,27.78,28.08,74643391
25-Jul-11,27.26,28.09,27.19,27.91,108486590
22-Jul-11,26.86,27.55,26.68,27.53,76380505
21-Jul-11,27.04,27.31,26.65,27.10,81737342
20-Jul-11,27.28,27.35,26.98,27.06,49795352
19-Jul-11,26.81,27.64,26.78,27.54,86730600
18-Jul-11,26.63,26.90,26.26,26.59,44506711
15-Jul-11,26.47,26.93,26.47,26.78,49134401
14-Jul-11,26.62,27.01,26.36,26.47,46385928
13-Jul-11,26.60,26.96,26.51,26.63,40869336
12-Jul-11,26.55,26.79,26.34,26.54,47320989
11-Jul-11,26.62,26.80,26.49,26.63,44000715
8-Jul-11,26.54,26.98,26.51,26.92,58332434
7-Jul-11,26.49,26.88,26.36,26.77,51950943
6-Jul-11,25.97,26.37,25.96,26.33,48748894
5-Jul-11,26.10,26.15,25.90,26.03,37803059
1-Jul-11,26.02,26.02,26.02,26.02,0
30-Jun-11,25.74,26.00,25.66,26.00,52536288
29-Jun-11,25.71,25.71,25.36,25.62,66052078
28-Jun-11,25.30,25.92,25.16,25.80,81032018
27-Jun-11,24.23,25.46,24.23,25.20,92044114
24-Jun-11,24.51,24.54,24.19,24.30,101387157
23-Jun-11,24.44,24.65,24.20,24.63,59472060
22-Jun-11,24.60,24.81,24.59,24.65,44290814
21-Jun-11,24.52,24.86,24.40,24.76,49712104
20-Jun-11,24.17,24.66,24.16,24.47,54344045
17-Jun-11,24.22,24.30,23.98,24.26,83352877
16-Jun-11,23.75,24.10,23.65,24.00,57190388
15-Jun-11,24.00,24.01,23.67,23.74,49410128
14-Jun-11,24.30,24.45,24.19,24.22,42902699
13-Jun-11,23.79,29.05,23.70,24.04,47574074
10-Jun-11,24.02,24.02,23.69,23.70,49327104
9-Jun-11,24.01,24.04,23.82,23.96,42882262
8-Jun-11,23.90,24.02,23.86,23.94,42206806
7-Jun-11,24.09,24.17,23.90,24.06,41112524
6-Jun-11,23.90,24.25,23.77,24.01,54778670
3-Jun-11,24.05,24.14,23.84,23.90,60697662
2-Jun-11,24.49,24.65,24.18,24.22,51487738
1-Jun-11,24.99,25.10,24.37,24.43,74036467
31-May-11,24.96,25.06,24.70,25.01,60196203
27-May-11,24.76,24.76,24.76,24.76,0
26-May-11,24.35,25.03,24.32,24.67,78016538
25-May-11,24.17,24.31,24.16,24.19,34903112
24-May-11,24.20,24.29,24.04,24.15,47692976
23-May-11,24.21,24.25,24.03,24.17,52703425
20-May-11,24.72,24.87,24.44,24.49,45451462
19-May-11,24.85,24.88,24.50,24.72,37783590
18-May-11,24.53,24.74,24.25,24.69,53931025
17-May-11,24.40,24.70,24.27,24.52,82894458
16-May-11,24.96,25.07,24.50,24.57,91402408
13-May-11,25.28,25.32,24.95,25.03,66819290
12-May-11,25.35,25.39,25.10,25.32,77366952
11-May-11,25.65,25.66,25.21,25.36,78604669
10-May-11,25.38,25.85,25.25,25.67,120806139
9-May-11,25.80,25.96,25.67,25.83,38696376
6-May-11,26.07,26.22,25.75,25.87,55993642
5-May-11,26.05,26.08,25.68,25.79,55626793
4-May-11,25.85,26.25,25.79,26.06,73292270
3-May-11,25.60,25.85,25.49,25.81,71909361
2-May-11,25.94,26.00,25.48,25.66,89834099
